mol solvent,mol solute,target Gsolv kcal
CC(=O)c1ccccc1,CC2C1CC(CC1C(C)=CC(C2)OC(C)=O)=C,-11.33025346
OCCCCCO,FC(F)(F)C(C)=O,-2.34088106
CCCCCCCCCCCCCCC=C,CCCCCCC(OC(C)C)=O,-6.89896443
CCCCCCCl,Clc(ncc1C)nc1Cl,-8.44355352
C#N,ClCCN(C)C,-10.24739764
CCC(O)CC,FCC(Cl)Cl,-4.04030744
CCCCCCCC=C,Cc2c1ccccc1n(C)c2,-7.97280163
CNc1ccccc1,Cc(ccc1Cl)cc1C,-6.61554927
ClC(Cl)(Cl)Cl,CC(CC(C)=O)=O,-5.05791832
OCCN,CCC(Cl)CC,-3.24124696
CCC(O)(C)C,CC1(OC1)C(C)=O,-5.24465009
Brc2c1ccccc1ccc2,COCC#C,-3.35150759
C(C=Cc1cc2)c1cc2,CCOC(F)(Cl)Cl,-4.74436383
CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,CCON(=O)=O,-3.74041279
FC(F)C(F)C(F)(F)F,CN(C)C(=C2C)C(=O)N(c1ccccc1)N2C,-14.44487389
CCCCCC(C)=O,CCCCOC(=O)C(C)=C,-6.32271283
OCCCCCCCCC,CCCOC(=O)Nc1ccccc1,-10.45056813
CCCCN(CCCC)C=O,C=CCC=C,-2.85393996
CC(CC1)CS1(=O)=O,CC1CCCO1,-3.61544392
BrCCBr,CCCN(CCC)c1c(cc(C(F)(F)F)cc1N(=O)=O)N(=O)=O,-14.33544096
CCOC(C)(C)C,ClCCC(F)(F)F,-3.85734519
CCOC(=O)c1ccccc1,CCCCCCc2c1ccccc1ccc2,-11.12223089
Cc1nc(C)ccc1,OCc1ccc(C(C)C)cc1,-10.45886055
OCCCl,Oc2cc1CCCc1cc2,-9.47627646
COCCO,ClC(Cl)(Cl)C(Cl)(Cl)Cl,-5.62660166
CC(OCc1ccccc1)=O,CCCCCC=CCO,-7.43090738
ClC(Cl)Cl,N#CCN(CC#N)CC#N,-11.63927556
CCC(C)c1ccccc1,CCOC(CN)=O,-5.42908967
Clc1ccccc1,CCOCCOC(C)=O,-7.09627706
COC(C)=O,C1CC1c2n[nH]nn2,-11.30122505
Cc1cc(C)cc(C)c1,COc1ccc(C=C)cc1OC,-9.08831589
OCC,O=Nc1ccccc1,-6.54353033
CC(Br)Br,FC(F)C(C)=O,-3.40097294
CCC(C)=C,CC(C)OC(F)(F)F,-3.14577144
CCCCCCCCC,CCCO[PH](OCCC)=O,-6.91860474
N1CCCC1,CCCCCCN(=O)=O,-7.29450095
OCCCCCO,CN(C)B(N(C)C)N(C)C,-3.8106413999999997
NCC,CCCn1ccnc1,-8.37222771
CC#N,Cc2cc1cccnc1c(C)c2,-8.389062800000001
O=N(c1ccccc1)=O,CC=C1CCCCC1,-4.84185801
C(c2ccccc2)c1ccccc1,CC1(C)OC1,-3.52221354
CCC(O)CC,O=S(c2ccccc2)(=O)C=Cc1ccccc1,-14.907010099999999
ClB(Cl)Cl,CC(C)C(=O)C(C)=O,-5.03976249
c2nc1ccccc1cc2,COC(C1CC1)=O,-5.04505935
OCCCCC,OCCCCCN,-11.2117102
CC(=O)c1ccccc1,FC(F)C(F)(F)C,-2.43029631
SC,OC1=CC=C(C=C1)C1=CC2=C(S1)C=C(O)C=C2,-18.47538408
CC(C)(C)CC(C)CC(C)(C)CC(C)(C)C,CN(C)c1ccncn1,-6.79408146
CCOC(CCC)=O,CN(C)C(N(C)C)=NP(=Nc1ccccc1)(N(C)C)N=C(N(C)C)N(C)C,-16.79222313
OCCCCCC,CCCCOB(OCCCC)OCCCC,-8.47715348
C1OC1,OC(C)CC(C)(C)S,-8.82613132
CCCBr,OC(C)CC(O)=O,-7.69588844
COP(OC)(OC)=O,CC(C)c1cc(O)ccc1C,-11.14856181
CCCCCCCCC,NC1CCCCCCC1,-6.50513183
c1ccccc1,CN2c1ccccc1OC2=S,-11.57333819
O,CCOC(C)(C)CC,-1.26894038
CC(C)(C)CC(C)=C,N#N=NC(c1ccccc1)=O,-6.82751683
OCCc1ccccc1,Cc2nc1c(cccc1N)cc2,-9.82231385
OCCCCCCCCCC,OC(=O)c1[nH]ccc1,-9.78196466
O1CCCCC1,CCCCCCCCCC1OC(CCC1)=O,-13.32069027
C1CCCC1,OCCOC(=O)C(C)=C,-6.00301512
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Clc1ccc(cc1)S(O)(=O)=O,-6.40252163
CCCCNCCCC,CC(S)C(C)=O,-5.19001391
CC(OCc1ccccc1)=O,OC(=O)c(cc1O)cc(O)c1,-17.03041014
CCOC(CCC)=O,CC(C)OC(F)(F)C(F)(F)C(F)F,-4.70262327
CC(C)CC(C)C,CC1=CCOCC1,-4.73957129
CCCC(C)CC,CC(C)C(C)=C,-3.43719269
OCCCCO,CC(CCc1ccc(OC(C)=O)cc1)=O,-11.37734019
CCCCCCCC,CCCOC(C(C)OC(C)(C)CC)=O,-7.27608381
CCOP(OCC)(OCC)=O,CCOC(CN)=O,-6.16295625
CCOC(C)=O,CCN(C2CCCCC2)C1CCCCC1,-8.90049224
CC(CC(C)=O)=O,OCCCCCCO,-10.38032899
CN(=O)=O,CCCC(=O)C(CCC)=O,-6.53476181
CCCCCCCC=C,CCOc1cc(C=O)ccc1O,-9.15148742
n1ccccc1,CC(C)(S)C(N)C(O)=O,-12.22692458
CCN1CCCC1=O,CCCCCCOC(=O)c1ccccc1O,-10.89535468
C=Cc1ccccc1,CN1C=CC(=O)C=C1,-12.33907284
CCC=C,COc1cc(CC(O)=O)ccc1,-9.837113
CCOC(=O)c1ccccc1C(OCC)=O,C(CC2)CCC2c1ccccc1,-7.86541373
OCCO,CC(C)CC(C)=C,-1.87764321
Fc1ccccc1,Fc2c(F)c(F)c(Nc(c(F)c1F)c(F)c(F)c1F)c(F)c2F,-8.91172803
Cc1cc(C)cc(C)c1,CC1C=CCC2C1C(OC2=O)=O,-9.559228599999999
CC(C)C(C)C,CCCCCCC(O)C,-6.38237969
CC(C)C(C)C,FC(F)(F)C(O)(C)C(F)(F)F,-2.8781903
Cc1cc(C)ccc1,CCSCC,-4.72785776
ClC(Cl)C(O)=O,CCCOC(F)(F)CCF,-5.02719125
OCCCCCCCC,CCCC1OC1C=CC=O,-7.94384583
CNC(C)=O,COc2cc(ccc2)C=C(C(CC1C3C)C1(C)C)C3=O,-13.00577579
CCC(C)CC,N#CCN1CCCCC1,-6.80905791
ClCCCl,OC(C1CCCO1)=O,-9.25620514
C1CCCC1,CCOC(=O)c1ccccc1C,-7.95106313
CCC(C)CC,CCOC(F)(F)C(F)(F)CF,-3.6381705
BrC(Br)C(Br)Br,CCCOC(CC(C)C)=O,-7.04166739
C1OC1,Cc1ccccc1N3C(C)=Nc2ccccc2C3=O,-15.30150041
O(Cc2ccccc2)Cc1ccccc1,FCC(C)CCC(F)F,-5.19423519
CCOCC,c2cc1nocc1cc2,-7.58544331
CCC(C)=O,COCN=CC,-5.71006229
OCCO,FC(F)(F)C(F)C(F)C(F)(F)C(F)(F)F,-1.59374296
CC1CCCC1,CCC1NC1,-3.58222519
Cc1ccccc1,CCOP(OCC)(=O)N(CC)CC,-9.89923793
O=C1CCCO1,OCCCCCCCCO,-11.30008525
O,FC(F)(F)C(C)C(F)(F)C(F)(F)F,2.1609109
CC(OCc1ccccc1)=O,Nc(ccc21)cc1C(=O)NC2=O,-14.62727821
CCOC(=O)c1ccccc1,OC(=O)C(=O)Nc1ccccc1,-10.52016416
O(Cc2ccccc2)Cc1ccccc1,CCOC(Cl)=O,-4.67131923
FCCCCCCCC,CCOC(CC1(C)OCCO1)=O,-7.84791294
CCC(C)Cl,CCNNCC,-5.21400797
CC1OC1,N=C,-2.7744839
O=Cc1occc1,Cc(ccc1O)cc1O,-11.67145666
O=N(c1ccccc1)=O,CCC#C,-2.65568346
ClCCl,CCCCCCCCCCBr,-9.28025781
CC(CC(C)=O)=O,S(SCc1ccccc1)Cc2ccccc2,-12.26093633
Cc1cc(C)ccc1,COc1cc(CC(O)=O)ccc1,-9.66203764
CCCCCC(C)=O,C1OCCOCCOCCOCCOC1,-11.14156103
CC(C)C(C)C(C)C,CCCCCCCCCCCCCCC(C)=O,-11.81935302
CCCCCCCCCCCCCC,Oc2cc1CCCc1cc2,-6.96739369
OCCCCCCCCC,OC(=O)c1ccccc1C(C)=O,-12.04407453
OCCCCCCCCCCCC,NC1CCCCCCC1,-8.43418056
CC(C)=C,CCN(CC)C=O,-6.57266811
CCCCCN(CCCCC)CCCCC,Cc1cc(S)ccc1,-6.33042288
NCCN,CN(CC1)CC1(F)F,-3.77319696
NCCCN,O=N(=O)c1oc(cc1)C=CC=NNC(=O)N,-23.16380927
Fc1ccccc1,CC(C)(c(cc2)ccc2O)c1ccccc1O,-13.65131921
N#CCCCC#N,COC(C)(OC)C(F)(F)F,-3.5087019
Cc1ccc(C)cc1,NC1=NNC2=CC=C(C=C12)C1=CC=CC=C1,-14.12769713
Cc1nc(C)ccc1,Nc2ncnc1c2ncn1C,-11.99837084
CC#N,CCCCCCC(OC1C)OC1C,-7.4650276
CC(C)(C)CC(C)=C,Nc2c1ccccc1ccc2,-8.90245649
Fc1ccccc1,CC3CCC1OC1(C)CCC2C3CC2(C)C,-10.53807815
CCC(C)c1ccccc1,COC(Br)=C,-4.32739909
OCCCCCC,Nc(ccc1O)cc1N,-12.64655776
CCCCCCCCCOC(=O)c1ccccc1C(OCCCCCCCCC)=O,OCC(C)(C)Cc(ccc1)cc1C,-9.30576541
SC,COC1=CCCCC1,-5.94905363
CCCCCCCCN(CCCCCCCC)CCCCCCCC,C3Cc2c1c(CCC1C3)ccc2,-7.4110859
CN1CCN(C)C1=O,Nc1nnnn1C,-15.77446065
CC#N,CCC=CCCC1(C)OC(CC1)=O,-10.86813653
OCCCCCCCCCC,FC(F)(F)CCC(F)C(F)(F)F,-3.47173914
O=C1CCCO1,CC1(C)CC(=O)C=C(C)C1,-8.19910777
C1OC1,CCCCCCCCOC(=O)c1ccc(C(OCCCCCCCC)=O)cc1,-18.41061266
OC(C)=O,CCC1CCC1,-2.17990253
CCCCOC(=O)c1ccccc1C(OCCCC)=O,FC(F)(F)C(C)(C)C(C)(C)C,-4.41595072
CCCCCCCCCCCCCCCC,ClCC(F)(F)C(F)F,-2.48605538
CCNC(C)=O,CNCl,-4.46820862
CCCCCCCCCCCCC,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-11.94712561
CCOC(C)(C)C,S=C1CCCO1,-7.39368012
OCCOCCOCC,CCCCCCCOC(=O)c(cc1)ccc1O,-15.78484838
NCCCN,Fc1cc(C=O)ccc1,-6.18888639
CCCCN(CCCC)CCCC,OC(=O)c(cc1)oc1C,-7.78178914
CSC,FC(F)(Cl)OC(Cl)C(F)(F)F,-3.9232864000000003
Cc1cc(C)cc(C)c1,CC(C)COc1ccccc1,-7.60375179
CC(C)(C)CC(C)CC(C)(C)CC(C)(C)C,FCOC(F)CF,-2.22361705
CC(C)CC(C)(C)C,C(C(c2ccccc2)c1ccccc1)c3ccccc3,-12.97649525
CC(C)(C)c1ccccc1,N#CC#C,-2.61939718
O=S1(CCCC1)=O,CCCC(F)(F)C(F)F,-2.99394326
Cc2c1ccccc1ccc2,FC(F)(F)C(C)(C)C(C)(C)C(F)(F)F,-4.98417223
CCCCCCCCCC,CC(CC1)OC21C(C)(C)CCCC2(O)C,-8.94976203
CO,O=C1OCCCC=CCCCCCCCCC1,-11.1216754
CCN(CC)C(C)=O,Nc2c1ncnc1n(C)cn2,-14.90431944
CS(C)=O,CCCCCCCC(C)=C,-3.52216463
CCC(C)c1ccccc1,Nc2ccc(cc2)S(=O)(=O)Nc(no1)nc1C,-16.3257836
C1OC1,CCCP(CCC)(Oc1ccccc1)=O,-12.69169491
CN(=O)=O,CCC=CCCOCC(C)=C,-5.99587058
CCCCl,CCC=C(C)C=C(C)C,-5.797553700000001
CN1CCCC1,CCC1CC(C)=C(O)C1=O,-8.11622325
COc1ccccc1,OC(CC(O)=O)(CC(O)=O)C(O)=O,-15.05686148
CCCCc1ccccc1,FCC(F)(CF)C(F)F,-3.02516423
OCCOCCOCC,OC43C2CC(CC51)CC4C1CC(CC52)C3,-10.08763219
CCCCCC#N,CCCCCCC(C)CC,-5.52762805
OCCOCC,Cc1ccc(cc1)S(=O)(=O)C=C(C)C,-13.55285756
CN1CCCC1,CCC(C)CC=C,-4.35308338
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CN(C)CC=N,-2.94128217
Oc1cc(C)ccc1,CCCCCCC(C)CCC,-5.92414936
COC,CC(C)C(F)(F)O,-7.76276952
Cc1cc(C)cc(C)c1,FC(F)OC(F)(F)F,-1.28923654
OCCS,FC(F)(F)C(C(F)(F)F)=N,-2.44319414
OCCCC,O=CCC=C,-4.19841453
ClC(Cl)Cl,O=N(=O)c3cc(ccc3)N=C(c1ccccc1)Nc2ccccc2,-20.65839258
CCCCCCC,ON=C1CCCCC1=NO,-7.91279053
CCCBr,ClC1(Cl)C2(Cl)C3COS(OCC3C1(Cl)C(Cl)=C2Cl)=O,-13.97273346
BrC(Br)Br,FC(F)(F)C(F)(F)C(Cl)(Cl)Cl,-3.64750383
CCCC(C)C,Cc2cc1CCCc1cc2,-6.80526575
Cc1cc(C)ccc1,N#CCc(ccc1)cc1Cl,-9.22424142
CCCOCC(O)C,CCOC(C)OCCc1ccccc1,-8.81817081
CCCCCCCC,Cc1ccc(cc1)S(=O)(=O)NS(c(cc2)ccc2C)(=O)=O,-16.61606175
Cc1cc(C)cc(C)c1,FC(F)(F)C(F)(C)C(F)(C)C,-4.21324211
CCCCCCCCCCC,S=C=Nc1ccccc1,-6.46025133
CC(=C)C#C,CCCC(C)C(C)=C,-4.61933588
CN1CCCCC1=O,CN(C)C(F)C(C)C,-4.7586943
OCCOCCOCCOCCO,CC(C)(c(cc2)ccc2O)c1ccccc1O,-16.99556007
CCNCC,SCC=C(C)C,-5.5162337
CCCCCCCCCCC,CC(CCC1C(C)C)CC1OC(CC(C)C)=O,-9.55634173
Cc1ccccn1,OC(=O)c(cc1O)cc(O)c1O,-22.6521015
CC(C)(C)c1ccccc1,Nc1nc(N)ccc1,-7.7775034
CC(C)(C)CC(C)=C,c(ccc51)cc1c(cccc3c2ccccc62)c3c4c5cccc64,-17.29975009
CCCC#N,COc1ccncn1,-6.58384182
CCCCN(CCCC)C=O,Cc1cnccc1C,-6.80845782
BrCCBr,FC(F)(F)C(=O)CC(=O)c1sccc1,-9.65746312
FC(F)(F)C(F)(F)C(F)(F)F,COC(Br)=C,-2.66680944
CC(C)(C)CC(C)CC(C)(C)CC(C)(C)C,CC(C)(C)OCC1OC1,-5.03474419
CCCCCCCCCCCCCCC,CCCCCNC(OC)=O,-6.23811444
CN(=O)=O,O=N(=O)c1cc(ccc1)N(=O)=O,-10.59778671
BrCCBr,CC(OCC#N)=O,-7.29745445
C#N,FC(C)(C)C(F)(Cl)Cl,-5.86578543
Clc1ccccc1Cl,CCCCC(F)(F)C(F)(F)F,-3.60366097
OCCOCCOCCCC,FC(F)C(F)(F)OC(F)(F)C,-3.76519177
CNc1ccccc1,CC(C)=CCCC(C)=CCCC(C)=CC=O,-13.22355509
CN1CCCC1=O,COCCNCCOC,-6.47068849
CCCCCCCCBr,CCCCCCCCCCCCCCCC(=O)NC,-14.71320172
OCC,FC(F)(F)C(F)(C(F)(F)OC1(F)F)C1(F)F,-1.16129969
COCCOC,COc1cc(Cl)c(Cl)c(Cl)c1O,-12.17913281
CCCCCCCCBr,C(CCC1OCCc2ccccc2)C1,-9.72339574
N#CCCCCC#N,CCNc1ccccc1C,-7.64582043
CC1OC(OC1)=O,CC1(C)C=C(C)C(CC1)C(=O)C=CC,-8.72449764
CC(C)C(C)C,CCBCC,-3.03543893
Cc1ccccc1N(=O)=O,OCCOCCOCCCCCC,-9.68742631
NCCCN,CCCCCC=CC=CC(=O)NCC(C)C,-13.57278388
O=CN1CCOCC1,CCCCN(C)C,-3.24889851
CCNC=O,CCCCCCCCCCCCCCCC=C,-8.25187474
O,CCCCOB(OCCCC)OCCCC,1.05506744
COC,NCCBr,-5.95776629
OCCOCC,Cc2c1CCCc1ccc2,-6.45424165
COc1ccccc1,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-18.19287918
CCOCCOCCOCC,CCC(C)(CC)c1cc(on1)NC(c2c(OC)cccc2OC)=O,-19.19545605
OCCCCCC,CCC(C(C)CC=C(C)C)=O,-6.92167999
NCc1ccccc1,CC(C)(C)CCC(C)(C)C,-4.9965793
FC(F)(F)C(F)(F)C(F)(F)F,Fc1cc(F)c(C)cc1F,-4.07425799
Cc2c1ccccc1ccc2,CC2(CCC3)CC3(CO2)C1CC=C(C)C1(C)C,-10.99269666
CCCCOC(=O)c1ccccc1C(OCCCC)=O,CC(C)(C)OCC1OC1,-5.81013052
CCCCC,C(COC1Cc3cc2OCOc2cc3)O1,-9.25599554
CNC=O,COc1ccccc1OCC=C,-8.55675614
CCCCCCCC=C,COCOC(F)F,-3.06320073
ClC(=C)C=C,CC(C)(C)N(=O)=O,-5.67701631
CCCCOC(=O)c1ccccc1C(OCCCC)=O,FC(F)C(F)(Cl)Br,-3.89129276
Cc1ncccc1C,CCCCC(CCCC)=O,-7.08150165
COC(C)=O,NC1=NC=CC(=N1)C1=CC2=C(ON=C2C=C1)C1=CC=C(Cl)C=C1,-20.84906302
CC#N,CC(CCC1=C2C)CC1OC2=O,-10.92990974
CCNC=O,ClC=O,-3.43173066
OCCC,CN2c1ccccc1SC2=S,-10.72420654
O=Cc1occc1,C(C1)C=NN1c2ccccc2,-9.82553341
OCCC#N,ClCc(ccc1)cc1Cl,-6.78676969
O1CCCCC1,n2cc1cc[nH]c1cc2,-11.74861068
CS(C)=O,CC(=O)Oc(cc1)ccc1C,-7.93666051
CC1OC(OC1)=O,CCC(C)CCC(OCC)=O,-6.22534063
N1CCCC1,OCCN1CCNCC1,-9.71143402
N1CCCC1,OCC(CO)(CO)CO,-17.79590727
CC(C)c1ccccc1,OCCCC(F)(F)F,-4.59179437
CC(C)=C,CCCCCCCBr,-7.05094518
CCCCCCCCCCCC,Clc1cc(Cl)c(cc1Cl)c(cc2Cl)c(Cl)cc2Cl,-12.98438217
Ic1ccccc1,CC(CCC1OC(C(O)C)=O)CC1C(C)C,-10.48488429
CN(C)C=O,FCC(F)(OC)C(F)(F)F,-4.15476955
CCC(C)Cl,CC(C)CCC(C)=O,-6.16189643
n1ccccc1,O=N(=O)c1c[nH]c(=O)[nH]c1=O,-20.89235053
CCC(O)(C)C,NC1=NC2=CC=CC=C2C(=O)N1,-16.87121613
CC(C)CCC(C)(C)C,CCOC(F)(F)CC(F)(F)F,-3.45130746
FC(F)(F)C(F)(F)C(F)(F)F,OC(C)C(C)(C)C=CC1CC=C(C)C1(C)C,-7.45448651
OCC1CCCO1,Cc1ccc(cc1)S(CC=C)(=O)=O,-11.61478016
CC(Br)Br,FC(F)(F)C(F)(C)C(C(F)(F)F)=O,-2.97850035
OCCCCCCC,c(ccc2cc3c4cc1ccccc1cc4ccc3c5)cc52,-15.92083603
CC(C)C(C)C,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-13.32410026
CC(C)=O,FC(F)(F)C(F)C(F)(F)C(F)(F)F,-2.01322587
CC(C)N(=O)=O,FC(F)(F)C(F)(F)C(F)(F)C(C)(C)C,-3.38147456
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FCN1CCCC1,-3.07512042
ClB(Cl)Cl,CCC(C)C1CCCCC1=O,-8.34807629
CCCCCCCCN(CCCCCCCC)CCCCCCCC,CC(C)C=CC(C)C,-4.09172464
CN1CCN(C)C1=O,O=C=O,-1.25234667
CCCC=O,CC1(C)C2CC1CC(=O)C2=C,-7.62478977
CCCCCCCCCCCC,CCc2cc1ccccc1cc2,-8.04474805
N1CCCC1,COCCC(F)C,-4.47087483
CCCCCN(CCCCC)CCCCC,CC1(C)CCCC(=C)C1C(=O)C=CC,-8.13058824
OCCOCC,CCC(C)=C(C)C,-3.65897762
ICI,Cc1c(c(C)c(cc1N(=O)=O)N(=O)=O)N(=O)=O,-13.11509162
CCN(CC)CC,CC1C=CCC1,-3.87049255
OCCCCCO,OOc1cc(C(C)C)cc(C(C)C)c1,-11.05095525
C1OC1,Fc(ccc1F)cc1F,-4.91878641
CCOP(OCC)(OCC)=O,Cc1cccc(Cl)c1C,-6.71260755
OCC,CCCCCCCCCCCC(O)=O,-12.18168384
COc1ccccc1,c1nccnc1,-5.59293514
CCCC(C)=O,CCC(O)C(C)=C,-5.9565719
CCCCCC,CCC(C)N(C)C,-4.33169636
CCN1CCCC1=O,COc1cnccn1,-6.4589254
OCCOCCCC,BrC=C,-3.07543244
CCCCCN(CCCCC)CCCCC,C=Cc1occc1,-4.0256072
OCc1occc1,Cc2nc1cccc1[nH]c2,-13.87045914
CCC(C)Cl,OC(=O)c(cc1)ccc1Cl,-8.66124804
CC=O,CCC(CC)C(OCCc1ccccc1)=O,-9.90258949
COCCOC,O=C3C(CN4Cc2ccccc2)CN(CC3C4)Cc1ccccc1,-17.62302303
CCC(O)CC,Clc1ccc(cc1Cl)NC(C)=O,-13.36761309
CCCCOC(=O)c1ccccc1C(OCCCC)=O,CC(C)(N1CCCCC1)C#N,-8.31697184
OCCCl,COC(=O)c2ccccc2N=CC(C)Cc1ccc(C(C)(C)C)cc1,-16.08738249
C#N,CC(C)CC=NO,-8.20975953
CS(C)=O,CCOC(=O)c1ccccc1C,-7.17338296
CCC=C,CC(C)OC(C(C)C)=O,-5.55069916
Cc2c1ccccc1ccc2,CC(C(CCC1)CC1(C)C)OC=O,-8.80029092
CN1CCCCC1=O,OCCCS,-8.77966485
COC(OC)=O,O=C1CCCCCCCC=CCCCCCCC1,-12.41597419
O1CCCC1,CCOC(=O)C(C)=CC,-6.48982876
CCCCCCCCCCCCCCC=C,CCCSC,-4.06927944
Cc1ncccc1C,OC(=O)c1ccccc1F,-11.62655362
OCC(O)CC,Cc2ccc(OC(=O)Cc1ccccc1)cc2,-11.44362014
ClCCl,OCCC(C)C1CC=C(C)CC1,-10.18155535
OCC(O)CO,CN1C2=C(C=C(C)C(C)=C2)N=C2C(=O)NC(=O)N=C12,-22.06755247
CCCCCCCCBr,OC(=O)c(cc1)oc1C,-7.46067437
CC(C)c(cc1)ccc1C,CC1CCC2C1(CCC3(C)OC(C)=O)CC3C2(C)C,-11.38700738
NCc1ccccc1,CCCCCCCC=CC(O)=O,-13.12501398
CCC(C)=C,OC(=O)c(cc(Cl)cc1N)c1Cl,-11.5639921
c2nc1ccccc1cc2,CN(C)CCCN3c1ccccc1CCc2ccccc32,-14.63997716
CCN(=O)=O,C2CC1CCCC1C2,-4.0111001
CCCCCCCCCCCCCCCC,COc1nc(OC)nc(OC)n1,-8.06515282
BrC(Br)Br,O=N(=O)c1c[nH]nc1,-9.547590300000001
CC(C)(C)c1ccccc1,Cc2ccc1ccccc1c2C,-8.753781
CCCCCCC=C,COC(OC)C=C(C)CCC=C(C)C,-8.39888177
CC1CCCCC1,CC(=CC1)CS1(=O)=O,-6.80112743
SC,CC1OC(C)CCO1,-6.81228326
Cc1ncccc1C,Fc1cocn1,-3.9668942000000014
CCC,CC1(C)COP(OC)(OC1)=O,-8.14643471
CCCCCCCCC=C,CNCCC(F)F,-3.74255287
Cc1ccccc1N(=O)=O,CCCCCCCCCCCCCCCc1ccccc1,-13.60957201
CC(C)=O,COc(cn1)ncc1C,-6.87418355
CC(C)CC(C)=O,FCC(F)(C(F)(F)F)C(F)(F)C(F)(F)F,-2.97716312
CCCCCCCC,O=C(CC(=O)N)N,-6.00533346
CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,CC(=O)C#N,-4.14311101
O(c2ccccc2)c1ccccc1,OCCC=CCC=CCC,-7.51210342
OCCCCCCC,CCC1C=CCCC1,-4.9072491
ICI,CNCc1occc1,-6.24176167
O=N(c1ccccc1)=O,FC(F)I,-3.6512019999999996
c2nc1ccccc1cc2,CC1=NC2=C(O1)N=C(N)NC2=O,-19.15705552
S=C=S,CCCC(F)C(F)F,-3.83335614
NCCC,NS(=O)(=O)C1=NN=C(S1)C1=CC=CC=C1Cl,-23.057651999999997
O=C1CCCC1,CCCOC(CCC)=O,-6.07282214
OCCOCC,CCOC(F)F,-3.03470739
CCCC(C)CC,ONC(c1ccccc1)=O,-7.23168498
CC(C)c(cc1)ccc1C,CC(C)CON=O,-3.96592184
CN1CCCC1=O,Fc1ccc(C=O)cc1,-7.38539272
NC(C)C,OCCC(C)OC,-9.03633994
CCCCOCCCC,OC(=O)c1cc(I)ccc1O,-12.93606979
CCCCCCCCCCCCCCC=C,Cc1ccncc1,-5.04652046
ClB(Cl)Cl,COc1cccc(OC)c1O,-8.95122999
CCOC(=O)c1ccccc1C(OCC)=O,CCCCCCCCCCCCCCCCCCCCCCCCCCC,-15.62111437
OCC,Cc(ccc1O)cc1N(=O)=O,-8.08956408
CC(OCc1ccccc1)=O,CC2C(CC3C1)CC1CC2C3,-6.04088162
Nc1ccccc1,Brc1cc(ccc1)N(=O)=O,-9.20043523
OC1CCCCC1,FC1(F)C(F)=C(F)C1(F)F,-1.48871837
c2nc1ccccc1cc2,CCn1cccc1C(C)=O,-7.88088023
C=Cc1ccccc1,CCOC(=O)c(cc1)ccc1C,-8.95252604
O,BrCC#C,-1.95900437
CCC(C)=O,CC(C)COCOCC(C)C,-5.89478367
CC(C)CC(C)(C)C,CCCCCCCC1CC(C)OC1=O,-9.74286495
Clc1ccccc1Cl,ClCC=O,-4.58451733
CO,CC(Nc1ccccc1)=Nc(cc2)ccc2N(=O)=O,-18.45700918
CCOCC,CSC(C)(C)CC(C)=O,-7.80974747
CCCCOC(=O)c1ccccc1C(OCCCC)=O,BrCCCC=C,-5.01806206
CCOP(OCC)(OCC)=O,CC(C)(C=O)Cc(cc1)ccc1CC,-9.65249378
CC=O,COC(C)(C)CN,-5.4524097000000005
CN(C)C=O,CCCCC(F)(F)C,-4.15329447
Clc2c1ccccc1ccc2,FCCN(C)CC,-4.77253353
OCCCC,CCC(C)(Cl)Cl,-4.51455307
CC(C)C,FC(F)(F)C(F)(C)C(C(F)(F)F)=O,-3.11171931
COCOC,COc1cc(ccc1O)C=CC(CC(=O)C=Cc(ccc2O)cc2OC)=O,-24.14274419
OCCCCCCCCCCCC,FC(Cl)C(F)(C)C(F)(F)F,-3.01859863
FCCCCCCCC,FCC(F)(C)CF,-3.45317239
OCC1CCCO1,OCCc1c[nH]c2c1cccc2,-14.01471131
COC,NCc1cc(Cl)cc(Cl)c1,-9.72627831
CC(CC(C)=O)=O,N#Cc1ccc(C#N)cc1,-10.06375145
CCCCCCC,C(CCP(c3ccccc3)c1ccccc1)CP(c4ccccc4)c2ccccc2,-21.00582433
CC(C)c1ccccc1,CNC(C)C(C)(C)C,-5.03643435
O=N(c1ccccc1)=O,Oc1cccc(C)c1O,-9.564081199999999
NCc1ccccc1,NC1=NC(=O)C2=C(N1)C(CC1=CN=CC=C1)=CN2,-30.26773615
OC(C)(C)C,CC(=O)c(ccc1)cc1Cl,-7.96107357
CCOCC,OC(c1cncnc1)(c(cc2)ccc2Cl)c3ccccc3Cl,-17.651467
C(CC2)CCC2c1ccccc1,CN(C)C(F)(F)C(F)C(F)(F)F,-4.31989496
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ClCCCC(C)Cl,-3.53449886
